
1,A08090673,348,9/16/2017 8:31:12,1190
2,A15953231,1896,5/27/2020 10:58:5,389
3,A15623464,2756,9/22/2019 9:18:23,1193
4,A16212778,1753,1/10/2017 8:27:6,501
5,A08548429,2598,2/9/2015 9:26:19,438
6,A15916813,356,1/16/2019 8:29:50,996
7,A02730772,2949,9/7/2018 8:44:27,294
8,A16257635,1857,9/24/2015 11:16:18,933
9,A00286551,367,8/16/2017 12:34:9,1872
10,A24541858,1399,2/23/2018 16:55:15,1902
11,A08525800,2076,2/24/2016 12:38:1,327
12,A24135718,2837,5/3/2016 8:4:21,1525
13,A08028539,2518,9/21/2016 13:55:10,1117
14,A15633538,2751,1/16/2019 9:31:43,2048
15,A24570454,1620,1/3/2020 16:24:56,949
16,A24173681,263,8/12/2016 16:56:42,1146
17,A13636082,2584,1/6/2019 11:23:18,367
18,A15978484,2972,3/15/2018 13:14:16,1793
19,A00273238,478,6/22/2020 11:58:24,2756
20,A01533024,598,8/19/2020 11:2:5,2973
21,A18028231,820,3/11/2020 12:51:11,1112
22,A18062759,1431,8/21/2018 9:36:40,2127
23,A09193114,1547,5/26/2017 13:5:29,421
24,A18066148,2005,2/20/2019 11:24:23,1312
25,A00284758,1772,4/27/2015 12:12:57,2435
26,A13641063,1168,8/1/2019 14:14:10,2610
27,A08047465,295,8/6/2016 13:2:31,1409
28,A15617048,2488,6/2/2017 12:47:0,1910
29,A15985259,756,11/12/2020 11:11:51,77
30,A19549837,2195,10/13/2019 9:17:40,1418
31,A16242095,1980,3/18/2016 16:52:21,1360
32,A00290451,187,3/11/2017 10:36:40,512
33,A08524625,1748,9/4/2014 16:27:13,898
34,A11891818,433,1/23/2016 8:6:56,2143
35,A13635719,2981,7/18/2018 12:45:6,1824
36,A15929061,2006,7/27/2020 13:48:0,1683
37,A16238967,1449,9/23/2020 13:13:53,1175
38,A01424182,1611,8/26/2015 9:45:55,1094
39,A08552585,1144,10/9/2014 11:0:32,2995
40,A08075517,1653,2/16/2020 16:6:12,1024
41,A18443615,747,2/10/2014 12:11:12,1670
