id,irsz,varos,utca,hsz
,3715,Kány,Köves,115
,3221,Gönc,Vasvári Pál,69
,3221,Encs,Villany,66
,3909,Dámóc,Béla,66
,3542,Felsőtelekes,Balassi Bálint,100
,3766,Vizsoly,Martinovics,50
,3787,Szin,Sóderos,27
,3639,Révleányvár,Dézsmaszék,40
,3566,Zalkod,Ratkó József,55
,3505,Detek,Villany,15
,3452,Szuhakálló,Legelő,11
,3106,Dámóc,Kölcsey Ferenc,15
,3282,Hernádszurdok,Nagy Lajos király,44
,3634,Taktaharkány,Diófa,37
,3701,Arló,Báthory István,48
,3590,Bükkaranyos,Ifjúság,47
,3108,Lácacséke,Görgey Artúr,48
,3161,Csobád,Pázsit,101
,3889,Hernádvécse,Bajcsy-Zsilinszky Endre,74
,3771,Zádorfalva,Vécsey Károly,49
,3009,Szomolya,Kopja,110
,3039,Felsővadász,Harang,14
,3014,Csernely,Csalános,36
,3020,Nyésta,Zöldfa,30
,3941,Hernádszurdok,Rákóczi  Ferenc,37
,3763,Nemesbikk,Borház,24
,3475,Felsőnyárád,Szent Mihály,20
,3246,Nyomár,Klapka György,85
,3866,Detek,Tabán,78
,3211,Vatta,Táltos,19
,3100,Gadna,Harang,34
,3471,Gönc,Bajcsy-Zsilinszky Endre,105
,3083,Novajidrány,József Attila,2
,3833,Hejőszalonta,Jókai Mór,8
,3530,Bózsva,Thurzó,89
,3142,Zubogy,Bornemissza,113
,3691,Királd,Kertész,35
,3071,Felsőberecki,Ferencesek,80
,3124,Berzék,Szabadság,95
,3899,Csincse,Radnóti Miklós,118
,3625,Sajóecseg,Ring Kálmán,88
,3803,Sajószentpéter,Esze Tamás,81
,3670,Domaháza,Tóth Árpád,13
,3440,Bükkmogyorósd,Pázsit,112
,3915,Szuhakálló,Repce,76
,3301,Rásonysápberencs,Arany János,69
,3010,Gibárt,Repce,7
,3523,Tiszakarád,Szent Mihály,91
,3957,Felsőberecki,Wesselényi,22
,3930,Tornyosnémeti,Zöldfa,64
,3641,Vilmány,Móra Ferenc,34
,3869,Alsóregmec,Balassi Bálint,91
,3500,Tornaszentjakab,Irinyi János,16
,3992,Füzérkomlós,Táltos,87
,3439,Ragály,Tavasz,26
,3403,Zalkod,Zagyvaparti,49
,3932,Varbóc,Kodály Zoltán,100
,3927,Kács,Petőfi Sándor,103
,3693,Ónod,Berzsenyi Dániel,96
,3505,Kisgyőr,Nádasdy Tamás,24
,3017,Mezőkeresztes,Legány Ödön,97
,3266,Alsógagy,Arany János,9
,3498,Golop,Czuczor Gergely,29
,3081,Szomolya,Nyírfa,102
,3131,Sajólászlófalva,Hárstelepi,48
,3706,Hejőbába,Gódor Kálmán,91
,3748,Homrogd,Toldi,80
,3174,Szögliget,Zöldfa,102
,3828,Mályinka,Bocskai István,15
,3286,Tard,Lukács Pelbárt,2
,3624,Kurityán,Nyírfa,79
,3762,Beret,Táncsics Mihály,35
,3762,Tiszatardos,Ősz,73
,3715,Alsóberecki,Barackos,23
,3871,Bodrogkeresztúr,Vereckei,28
,3930,Tiszapalkonya,Balassi Bálint,96
,3094,Tardona,Erdei kör,69
,3299,Szirmabesenyő,Diófa,109
,3828,Muhi,Ady Endre,21
,3366,Léh,Kertész,35
,3479,Bogács,Buzogány,84
,3676,Csernely,Sóderos,115
,3015,Detek,Géza fejedelem,11
,3661,Bánréve,Lehel,81
,3295,Szendrő,Vasvári Pál,52
,3955,Balajt,Barcsay Jenő,9
,3696,Detek,Hárstelepi,37
,3815,Bükkábrány,Honvéd,101
,3120,Kupa,Hegyalja,49
,3853,Varbóc,Mikes,107
,3933,Szuhogy,Hatvanas,80
,3489,Taktabáj,Kobzos,118
,3103,Kány,Vár,51
,3345,Kazincbarcika,Traktor,19
,3607,Mezőkövesd,Várkonyi Sándor,88
,3085,Korlát,Kiss Ernő,27
,3031,Felsőtelekes,Tó,119
,3315,Csobaj,Vécsey Károly,96
,3035,Felsődobsza,Bercsényi,13
,3934,Gömörszőlős,Dézsmaszék,51
,3278,Bodrogkisfalud,Várkonyi Sándor,55
,3561,Füzérradvány,Kodály Zoltán,91
,3420,Csobád,Irinyi János,24
,3397,Csokvaomány,Babits Mihály,87
,3032,Felsőtelekes,Balogh Ádám,53
,3604,Sajóbábony,Lehel,66
,3832,Újcsanálos,Bem József,85
,3510,Sajólád,Bokor,60
,3846,Zubogy,Mikszáth,7
,3233,Nagybarca,Kosztolányi Dezső,115
,3035,Tornanádaska,Kinizsi Pál,47
,3360,Újcsanálos,Bástya,58
,3823,Prügy,Kinizsi Pál,30
,3053,Tomor,Hét vezér,10
,3751,Csernely,Fürdő,7
,3066,Detek,Legány Ödön,48
,3976,Pere,Kárpát,65
,3562,Ároktő,Grassalkovich,16
,3510,Szögliget,Kóczos,117
,3900,Kissikátor,Bányász,105
,3736,Varbó,Papmalom,2
,3658,Bánréve,Doktay Gyula,46
,3778,Bükkzsérc,Hársfa,1
,3701,Hernádvécse,Fenyőfa,94
,3077,Szirmabesenyő,Béke,109
,3860,Kisgyőr,Vasvári Pál,28
,3385,Kisrozvágy,Nagy Lajos király,51
,3143,Gadna,Liszt Ferenc,2
,3833,Imola,Váci Mihály,2
,3512,Jósvafő,Dembinszky,68
,3626,Kisgyőr,Villany,44
,3504,Ládbesenyő,Barcsay Jenő,39
,3989,Izsófalva,Toldi,44
,3619,Bekecs,Köves,37
,3814,Farkaslyuk,Grassalkovich,46
,3643,Pányok,Hegyalja,60
,3981,Szemere,Béla,39
,3343,Szin,Bajza József,110
,3355,Ózd,Gedeon Béla,95
,3416,Tornabarakony,Benczúr Gyula,53
,3849,Tornaszentandrás,Peresi,110
,3910,Gagyapáti,Ady Endre,44
,3694,Vámosújfalu,Kóczos,42
,3612,Sajóörös,Madách,1
,3544,Szuhogy,Újvilág,8
,3299,Sajókaza,Bálvány,88
,3391,Abaújszántó,Széchenyi,36
,3775,Göncruszka,Fűzfa,108
,3319,Berente,Háromház,79
,3267,Aszaló,Belső Ifjúság,106
,3832,Perkupa,Szent Mihály,30
,3194,Abaújszolnok,Gábor Áron,51
,3530,Bükkszentkereszt,Csók István,46
,3859,Múcsony,Táltos,93
,3924,Csernely,Fecske,116
,3345,Szuhafő,Kandó Kálmán,76
,3508,Tornyosnémeti,Vásártér,38
,3444,Nyékládháza,Vásártér,116
,3046,Cigánd,Lukács Pelbárt,45
,3896,Nemesbikk,Turul,92
,3944,Alsóvadász,Nagytelek,82
,3414,Kissikátor,Fürdő,31
,3403,Bózsva,Zrínyi,5
,3060,Hollóháza,Dembinszky,6
,3333,Tornanádaska,Háromház,19
,3256,Felsődobsza,Delelő,74
,3096,Hejőkürt,Zöldfa,81
,3929,Hollóháza,Ősz,60
,3963,Lácacséke,Tarjáni,30
,3833,Hejce,Munka,14
,3809,Dövény,Erdei-Köves,76
,3360,Pácin,Delelő,22
,3932,Felsődobsza,Szent Mihály,107
,3819,Sajónémeti,Csók István,11
,3776,Hercegkút,Béla,62
,3550,Korlát,Kastélykert,25
,3689,Tomor,József Attila,71
,3891,Felsődobsza,Kobzos,67
,3882,Hejőkürt,Bocskai István,33
,3503,Tornaszentandrás,Szent Mihály,87
,3196,Füzér,Váci Mihály,59
,3335,Vatta,Buzogány,10
,3550,Abod,Ady Endre,109
,3292,Büttös,Krúdy Gyula,82
,3404,Muhi,Csalános,105
,3158,Fulókércs,Iparos,60
,3699,Csincse,Móricz Zsigmond,60
,3854,Pere,Szőlőhegy,18
,3421,Sajólászlófalva,Barcsay Jenő,107
,3195,Edelény,Mikes,37
,3859,Lénárddaróc,Dobó István,89
,3263,Aggtelek,Vas Gereben,109
,3023,Komlóska,Béla,13
,3185,Szuhakálló,Csokonai,70
,3198,Rudolftelep,Delelő,39
,3160,Füzér,Diófa,27
,3234,Varbóc,Sport,106
,3360,Hernádvécse,Béke,103
,3005,Olaszliszka,Apród,49
,3014,Kány,Karinthy Frigyes,1
,3928,Damak,Temető,75
,3187,Kány,Tízhold,43
,3537,Oszlár,Dolgozók,26
,3210,Mezőnyárád,Kard,14
,3183,Rakacaszend,Martinovics,97
,3199,Szirmabesenyő,Hárstelepi,75
,3986,Nagyhuta,Esze Tamás,11
,3436,Felsőberecki,Sóderos,102
,3808,Alsószuha,Kazinczy  Ferenc,98
,3099,Köröm,Kossuth Lajos,39
,3381,Sajóörös,Sóderos,72
,3342,Lénárddaróc,Csatafi,38
,3287,Becskeháza,Köztársaság,31
,3267,Alsóvadász,Nádasdy Tamás,24
,3426,Bükkábrány,Radnóti Miklós,100
,3334,Tiszadorogma,Gárdonyi Géza,19
,3590,Füzérkomlós,Balassi Bálint,108
,3836,Szalaszend,Csokonai,109
,3381,Oszlár,Székely,87
,3900,Kissikátor,Nyírfa,25
,3282,Tiszabábolna,Géza fejedelem,81
,3966,Legyesbénye,Vécsey Károly,10
,3234,Komlóska,Híd,20
,3494,Boldogkőváralja,Villany,60
,3699,Pácin,Dézsmaszék,110
,3272,Zubogy,Báthory István,34
,3062,Varbóc,Toldi,75
,3473,Edelény,Hatvany Irén,104
,3347,Szuhogy,Ratkó József,39
,3342,Tiszalúc,Móricz Zsigmond,102
,3042,Hejce,Karinthy Frigyes,105
,3055,Hercegkút,Bocskai István,35
,3612,Karos,Fürdő,85
,3594,Sajóörös,Ifjúság,99
,3300,Miskolc,Peresi,79
,3734,Prügy,Táncsics Mihály,82
,3523,Bükkszentkereszt,Nyár,51
,3065,Füzérkajata,Gedeon Béla,43
,3834,Garadna,Pázsit,52
,3931,Mezőzombor,Kövestéri,97
,3897,Krasznokvajda,Vasvári Pál,116
,3988,Sajószöged,Móricz Zsigmond,25
,3771,Karcsa,Batthyány,106
,3048,Arka,Gábor Áron,15
,3539,Gagyapáti,Mészáros Lázár,33
,3243,Szendrőlád,Szőlőhegy,118
,3700,Sajóvelezd,Bethlen Gábor,26
,3481,Felsőzsolca,Deák Ferenc,56
,3484,Léh,Diófa,36
,3588,Ónod,Nádasdy Tamás,86
,3296,Szendrő,Vásártér,104
,3123,Zádorfalva,Harmónia,63
,3704,Mogyoróska,Bányász,83
,3830,Vámosújfalu,Bartók Béla,90
,3457,Hernádbűd,Vas,105
,3687,Komlóska,Munkácsy Mihály,13
,3677,Sajóvelezd,Doktay Gyula,90
,3768,Hangony,Bajcsy-Zsilinszky Endre,33
,3236,Sajóörös,Attila,89
,3635,Köröm,Gedeon Béla,11
,3862,Regéc,Forgács Simon,67
,3238,Detek,Mikszáth,93
,3813,Dövény,Szalkai,11
,3192,Vadna,Lőrinci,63
,3782,Vatta,Temető,2
,3052,Dédestapolcsány,Honvéd,104
,3456,Tiszapalkonya,Munka,20
,3419,Bükkszentkereszt,Váci Mihály,117
,3692,Gagyvendégi,Lukács Pelbárt,12
,3417,Gelej,Nagytelek,85
,3536,Mezőkeresztes,Hárstelepi,35
,3250,Szentistván,Kistelek,13
,3727,Golop,Domb,6
,3176,Tiszacsermely,Ady Endre,57
,3728,Szalaszend,Kobzos,95
,3019,Újcsanálos,Huszár,4
,3920,Tiszalúc,Május,90
,3912,Felsőtelekes,Traktor,72
,3680,Pányok,Báthory István,94
,3182,Pálháza,Czuczor Gergely,59
,3297,Arnót,Peresi,74
,3306,Mád,Irinyi János,86
,3715,Lácacséke,Vásártér,15
,3484,Alsóvadász,Thurzó,20
,3771,Tiszapalkonya,Kazinczy  Ferenc,65
,3645,Csernely,Turul,108
,3076,Novajidrány,Teleki,19
,3507,Gagybátor,Vitéz,62
,3862,Debréte,Fenyőfa,61
,3338,Tiszakeszi,Tavasz,15
,3782,Sajókápolna,Hársfa,59
,3480,Pálháza,Huszár,86
,3554,Hejőszalonta,Bajcsy-Zsilinszky Endre,21
,3924,Onga,Csokonai,107
,3794,Révleányvár,Bányász,97
,3384,Boldogkőváralja,Bányász,90
,3900,Hernádkak,Mikes,81
,3305,Galvács,Fecske,111
,3990,Tiszakeszi,Diófa,80
,3213,Tiszatarján,Zrínyi Miklós,115
,3512,Sajólászlófalva,Vak Bottyán,46
,3008,Jósvafő,Zöld,95
,3514,Serényfalva,Erzsébet,110
,3792,Alsógagy,Gáspár András,18
,3777,Tiszadorogma,Barackos,118
,3770,Szemere,Damjanich,39
,3121,Korlát,Tüzér,5
,3254,Krasznokvajda,Tavasz,92
,3827,Viszló,Gorkij,62
,3164,Fancsal,Ferencesek,49
,3492,Igrici,Tabán,109
,3491,Göncruszka,Benczúr Gyula,85
,3813,Kurityán,Papp István,5
